t0,tf,steps,phases,linearTimeSpacing,elements,time,xComp,Rcrit_beta,Gcrit_beta,Rad_beta,avgR_beta,avgAR_beta,betaFrac_beta,nucRate_beta,precipitateDensity_beta,dGs_beta,xEqAlpha_beta,xEqBeta_beta,PSDdata_beta,PSDsize_beta,PSD_beta,PSDbounds_beta,eqAspectRatio_beta
,,,,,,322847.91423767444,0.0001675829623288336,2.1705342127639753e-08,1.9734307325331075e-16,0.0,2.1866362618129177e-08,1.0,0.007334584756448416,0.0,1.622278978079416e+20,9214321.608206796,0.00015592627648979669,0.25,,,,,
,,,,,,323294.2980328249,0.00016757982790974874,2.1710875363093506e-08,1.9744370146411808e-16,0.0,2.1854304213935362e-08,1.0,0.0073345972105143065,0.0,1.622278978079416e+20,9211973.245455312,0.00015592627648979669,0.25,,,,,
,,,,,,323741.2990179393,0.00016757671334736968,2.1716455494540676e-08,1.9754520850854854e-16,0.0,2.1877413572804757e-08,1.0,0.007334609585682741,0.0,1.6196246273129726e+20,9209606.19151272,0.00015592627648979669,0.25,,,,,
,,,,,,324188.9180463719,0.00016757357406976822,2.1722003220693506e-08,1.9764615193401914e-16,0.0,2.1865326895478767e-08,1.0,0.007334622059052473,0.0,1.6196246273129726e+20,9207254.089240806,0.00015592627648979669,0.25,,,,,
,,,,,,324637.1559726566,0.00016757045467923547,2.1727597941436144e-08,1.9774797656008518e-16,0.0,2.1888493001458997e-08,1.0,0.00733463445340411,0.0,1.6169695841319017e+20,9204883.278828414,0.00015592627648979669,0.25,,,,,
,,,,,,325086.013652509,0.0001675673105559176,2.1733160183653033e-08,1.97849236067551e-16,0.0,2.1876378018037515e-08,1.0,0.007334646946026821,0.0,1.6169695841319017e+20,9202527.441483896,0.00015592627648979669,0.25,,,,,
,,,,,,325535.49194282776,0.0001675641863542617,2.1738769509075695e-08,1.979513789644011e-16,0.0,2.1899600932823074e-08,1.0,0.0073346593594939904,0.0,1.6143138677561285e+20,9200152.883388108,0.00015592627648979669,0.25,,,,,
,,,,,,325985.59170169634,0.00016756103739401417,2.1744346267701812e-08,1.980529549673833e-16,0.0,2.1887457610081776e-08,1.0,0.007334671871334766,0.0,1.6143138677561285e+20,9197793.326042838,0.00015592627648979669,0.25,,,,,
,,,,,,326436.31378838455,0.00016755790838232347,2.1749970219799216e-08,1.9815541694618541e-16,0.0,2.1910737396552486e-08,1.0,0.00733468430391314,0.0,1.611657497288906e+20,9195415.02627761,0.00015592627648979669,0.25,,,,,
,,,,,,326887.6590633511,0.0001675547545892945,2.1755561531299612e-08,1.9825731051769917e-16,0.0,2.1898565700998564e-08,1.0,0.0073346968349554936,0.0,1.611657497288906e+20,9193051.74874449,0.00015592627648979669,0.25,,,,,
